Inventarisnr.,,,Inv.srt,,Omschrijving,,Terminal-ID,,Straat,Thv,CBS,Wijk,Sector A,Sector B,Sector C,,Sector D,X-Coord.,Y-Coord.,Voeding,ICS,Online,Type,ESN no,Cr Callno,Sleutel,GSM,Deelgem.,Deelgem niveau,Man nr,Status,Mutdatum,Door user,Inv.status
FT13,,,FT,,Fietstrommel,,,,ENGELSESTR,135,,,,,,,,51.9158897399902,4.41724014282227,,,,,,,,,Delfshaven,,,A,07-06-2009,Conversie,
FT130,,,FT,,Fietstrommel,,,,NOORDERHAVENKD,111,,,,,,,,51.9330902099609,4.46036005020142,,,,,,,,,Noord,,,A,08-07-2010,STREPE,
FT131,,,FT,,Fietstrommel,,,,NOORDERHAVENKD,113,,,,,,,,51.933048248291,4.46040010452271,,,,,,,,,Noord,,,A,08-07-2010,BEHEER-STZ,
FT132,,,FT,,Fietstrommel,,,,LUMEYSTR,13,,,,,,,,51.9278106689453,4.46279001235962,,,,,,,,,Noord,,,A,08-07-2010,STREPE,
FT133,,,FT,,Fietstrommel,,,,BOISOTSTR,16,,,,,,,,51.9277381896973,4.46274995803833,,,,,,,,,Noord,,,A,08-07-2010,BEHEER-STZ,
FT134,,,FT,,Fietstrommel,,,,STATENSNGL,136,,,,,,,,51.9266510009766,4.45668983459473,,,,,,,,0629476301,Noord,,,A,08-07-2010,STREPE,
FT135,,,FT,,Fietstrommel,,,,SCHIEBROEKSELN,54,,,,,,,,51.9367713928223,4.47534990310669,,,,,,,,,Noord,,,A,08-07-2010,BEHEER-STZ,
FT136,,,FT,,Fietstrommel,,,,SCHIEBROEKSELN,63,,,,,,,,51.9363288879395,4.47568988800049,,,,,,,,,Noord,,,A,08-07-2010,STREPE,
FT137,,,FT,,Fietstrommel,,,,PUTSELN,218,,,,,,,,51.8974113464356,4.49639987945557,,,,,,,,,Feijenoord,,,A,08-07-2010,BEHEER-STZ,
FT138,,,FT,,Fietstrommel,,,,DORDTSELN,92,,,,,,,,51.8948097229004,4.49413013458252,,,,,,,,,Feijenoord,,,A,08-07-2010,STREPE,
FT139,,,FT,,Fietstrommel,,,,PUTSEBOCHT,194,,,,,,,,51.8926811218262,4.49464988708496,,,,,,,,0633184407,Feijenoord,,,A,10-08-2010,OOMEBE,
FT14,,,FT,,Fietstrommel,,,,C DE VRIESELN,41,,,,,,,,51.9164505004883,4.45920991897583,,,,,,,,0629476718,Delfshaven,,,A,06-07-2010,STREPE,
FT140,,,FT,,Fietstrommel,,,,MAASKD,137,,,,,,,,51.9120903015137,4.49083995819092,,,,,,,,,Feijenoord,,,A,08-07-2010,STREPE,
FT141,,,FT,,Fietstrommel,,,,MAASKD,80,,,,,,,,51.9144287109375,4.49478006362915,,,,,,,,,Feijenoord,,,A,08-07-2010,BEHEER-STZ,
FT142,,,FT,,Fietstrommel,,,,MAASKD,137,,,,,,,,51.9120903015137,4.49083995819092,,,,,,,,,Feijenoord,,,A,08-07-2010,STREPE,
FT143,,,FT,,Fietstrommel,,,,MAASKD,102,,,,,,,,51.9134902954102,4.49319982528687,,,,,,,,,Feijenoord,,,A,08-07-2010,BEHEER-STZ,
FT144,,,FT,,Fietstrommel,,,,GOEDE HOOPSTR,40,,,,,,,,51.8984298706055,4.4969801902771,,,,,,,,,Feijenoord,,,A,08-07-2010,STREPE,
FT145,,,FT,,Fietstrommel,,,,DIERGAARDESNGL,90,,,,,,,,51.9213409423828,4.46930980682373,,,,,,,,mau,Centrum,,,A,08-07-2010,BEHEER-STZ,
FT146,,,FT,,Fietstrommel,,,,DIERGAARDESNGL,90,,,,,,,,51.9213409423828,4.46931982040405,,,,,,,,,Centrum,,,A,08-07-2010,STREPE,
FT147,,,FT,,Fietstrommel,,,,KRALINGSE PLASLN,91,,,,,,,,51.9317893981934,4.50847005844116,,,,,,,,,Kralingen/Crooswijk,,,A,08-07-2010,BEHEER-STZ,
FT148,,,FT,,Fietstrommel,,,,CROOSWYKSESNGL,16,,,,,,,,51.9297409057617,4.48965978622437,,,,,,,,,Kralingen/Crooswijk,,,A,08-07-2010,STREPE,
FT149,,,FT,,Fietstrommel,,,,JERICHOLN,81,,,,,,,,51.9301300048828,4.50629997253418,,,,,,,,,Kralingen/Crooswijk,,,A,08-07-2010,BEHEER-STZ,
FT15,,,FT,,Fietstrommel,,,,C DE VRIESELN,41,,,,,,,,51.9164505004883,4.45921993255615,,,,,,,,,Delfshaven,,,A,07-06-2009,Conversie,
FT150,,,FT,,Fietstrommel,,,,1E JERICHOSTR,93,,,,,,,,51.9296798706055,4.5064902305603,,,,,,,,,Kralingen/Crooswijk,,,A,08-07-2010,STREPE,
FT151,,,FT,,Fietstrommel,,,,1E JERICHOSTR,91A,,,,,,,,51.9296493530274,4.50660991668701,,,,,,,,,Kralingen/Crooswijk,,,A,08-07-2010,BEHEER-STZ,
FT152,,,FT,,Fietstrommel,,,,DORPSWG,53,,,,,,,,51.8900718688965,4.47243022918701,,,,,,,,,Charlois,,,A,08-07-2010,STREPE,
FT153,,,FT,,Fietstrommel,,,,OOSTVOORNSESTR,9,,,,,,,,51.8907089233398,4.46858978271484,,,,,,,,,Charlois,,,A,08-07-2010,BEHEER-STZ,
FT154,,,FT,,Fietstrommel,,,,SAFTLEVENSTR,2,,,,,,,,51.9133491516113,4.46549987792969,,,,,,,,,Centrum,,,A,08-07-2010,STREPE,
FT155,,,FT,,Fietstrommel,,,,V BYLANDTPLAATS,36,,,,,,,,51.9190101623535,4.47624015808106,,,,,,,,,Centrum,,,A,08-07-2010,BEHEER-STZ,
FT156,,,FT,,Fietstrommel,,,,SCHEEPSTIMMERM LN,27,,,,,,,,51.9102592468262,4.47802019119263,,,,,,,,,Centrum,,,A,08-07-2010,STREPE,
FT157,,,FT,,Fietstrommel,,,,KORTENAERSTR,32,,,,,,,,51.9135284423828,4.47671985626221,,,,,,,,,Centrum,,,A,08-07-2010,BEHEER-STZ,
FT158,,,FT,,Fietstrommel,,,,VEERKD,5,,,,,,,,51.9081916809082,4.47923994064331,,,,,,,,,Centrum,,,A,08-07-2010,STREPE,
FT159,,,FT,,Fietstrommel,,,,VEERKD,5,,,,,,,,51.9081916809082,4.47924995422363,,,,,,,,,Centrum,,,A,08-07-2010,BEHEER-STZ,
FT16,,,FT,,Fietstrommel,,,,C DE VRIESELN,43,,,,,,,,51.916389465332,4.45920991897583,,,,,,,,,Delfshaven,,,A,07-06-2009,Conversie,
FT160,,,FT,,Fietstrommel,,,,WESTERSTR,24,,,,,,,,51.9094314575195,4.4817099571228,,,,,,,,,Centrum,,,A,08-07-2010,STREPE,
FT161,,,FT,,Fietstrommel,,,,WYNHAVEN,19,,,,,,,,51.9185218811035,4.49090003967285,,,,,,,,,Centrum,,,A,08-07-2010,BEHEER-STZ,
FT162,,,FT,,Fietstrommel,,,,STATIONSSNGL,91,,,,,,,,51.9259414672852,4.46394014358521,,,,,,,,,Noord,,,A,19-07-2011,OOMEBE,
FT163,,,FT,,Fietstrommel,,,,WESTZEEDK,341,,,,,,,,51.9107208251953,4.47381019592285,,,,,,,,0649627866,Centrum,,,A,16-09-2010,STREPE,
FT164,,,FT,,Fietstrommel,,,,BLEKERSTR,8,,,,,,,,51.9156112670899,4.48119020462036,,,,,,,,,Centrum,,,A,30-05-2012,OOMEBE,
FT165,,,FT,,Fietstrommel,,,,GOUDSESNGL,266,,,,,,,,51.9242782592773,4.48958015441895,,,,,,,,06-33597335,Centrum,,,A,08-07-2010,BEHEER-STZ,
FT166,,,FT,,Fietstrommel,,,,ORANJESTR,29,,,,,,,,51.9428215026855,4.42277002334595,,,,,,,,,Overschie,,,A,08-07-2010,STREPE,
FT167,,,FT,,Fietstrommel,,,,BREITNERSTR,17-A,,,,,,,,51.9158897399902,4.47017002105713,,,,,,,,,Centrum,,,A,08-07-2010,BEHEER-STZ,
FT168,,,FT,,Fietstrommel,,,,BREITNERSTR,17-A,,,,,,,,51.9158897399902,4.47018003463745,,,,,,,,,Centrum,,,A,08-07-2010,STREPE,
FT169,,,FT,,Fietstrommel,,,,ROCHUSSENSTR,29,,,,,,,,51.9155387878418,4.47044992446899,,,,,,,,,Centrum,,,A,08-07-2010,BEHEER-STZ,
FT17,,,FT,,Fietstrommel,,,,C DE VRIESELN,52,,,,,,,,51.9159507751465,4.45949983596802,,,,,,,,,Delfshaven,,,A,07-06-2009,Conversie,
